Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
13845,30789305,Polanco,Apartment,Entire home/apt,5,2,2,3,1606,300,12,1,15,flexible,3/19/2018,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,,1906,462
13847,30790648,Roma Norte,House,Private room,1,1,1,1,287,0,3,0,7,moderate,6/2/2014,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,,287,1848
13848,30790804,Cuauhtemoc,Apartment,Entire home/apt,6,3,2,3,1357,459,1,14,32,moderate,9/10/2018,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,,1816,287
13849,30791011,Centro Historico,House,Entire home/apt,2,1,1,1,803,535,2,11,16,flexible,12/4/2018,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,,1338,202
13850,30791303,Cuauhtemoc,Apartment,Private room,2,2.5,1,2,535,0,2,28,4,flexible,2/21/2015,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,,535,1584
13851,30791418,Polanco,Apartment,Entire home/apt,2,1.5,2,2,994,0,3,0,0,flexible,2/19/2015,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,994,1586
13853,30793090,Acacias,Apartment,Entire home/apt,4,1,1,2,707,200,2,18,31,flexible,3/11/2017,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,907,835
13854,30793782,Hipodromo,Apartment,Private room,2,1,1,1,994,0,1,21,8,flexible,12/20/2011,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,994,2743
13855,30793941,Roma Sur,Apartment,Entire home/apt,4,2,2,2,1912,860,2,5,16,strict,8/29/2016,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,2772,1029
13856,30794332,Peralvillo,Apartment,Entire home/apt,4,1,2,3,879,250,1,0,4,moderate,3/19/2017,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,,1129,827
13857,30794418,Hipodromo,House,Private room,1,1,1,1,249,101,2,0,5,flexible,6/20/2016,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,,350,1099
13858,30796211,Napoles,Apartment,Entire home/apt,4,2,2,2,1147,421,2,10,30,strict,10/19/2012,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,1568,2439
13859,30798529,Roma Sur,House,Entire home/apt,4,1,1,2,1090,0,1,7,16,flexible,10/16/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,,1090,1347
13862,30802291,Coyoacan,Apartment,Entire home/apt,2,1,1,1,497,200,2,0,3,flexible,7/30/2011,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,,697,2886
